locus_tag	ftype	length_bp	gene	EC_number	COG	product
DMAJDCCL_01164	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
DMAJDCCL_01165	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
DMAJDCCL_01166	CDS	1071	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
DMAJDCCL_01167	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
DMAJDCCL_01168	CDS	900	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
DMAJDCCL_01169	CDS	252	yefM		COG2161	Antitoxin YefM
DMAJDCCL_01170	CDS	255	yoeB	3.1.-.-	COG4115	Toxin YoeB
DMAJDCCL_01171	CDS	825	yeeZ		COG0451	Protein YeeZ
DMAJDCCL_01172	CDS	951	yhaJ_1			HTH-type transcriptional regulator YhaJ
DMAJDCCL_01173	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
DMAJDCCL_01174	CDS	1005				hypothetical protein
DMAJDCCL_01175	CDS	228	yeeD		COG0425	Putative sulfur carrier protein YeeD
DMAJDCCL_01176	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
DMAJDCCL_01177	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
DMAJDCCL_01178	CDS	474	sbmC_2		COG3449	DNA gyrase inhibitor
DMAJDCCL_01179	CDS	681	yeeA_1		COG1289	Inner membrane protein YeeA
DMAJDCCL_01180	CDS	981				IS110 family transposase IS621
DMAJDCCL_01181	CDS	423	yeeA_2		COG1289	Inner membrane protein YeeA
DMAJDCCL_01182	CDS	330				hypothetical protein
DMAJDCCL_01183	CDS	225	pduV_2		COG4917	Propanediol utilization protein PduV
DMAJDCCL_01184	CDS	195	yeeW			Protein YeeW
DMAJDCCL_01185	CDS	375	cbtA_2			Cytoskeleton-binding toxin CbtA
DMAJDCCL_01186	CDS	369	cbeA_2			Cytoskeleton bundling-enhancing antitoxin CbeA
DMAJDCCL_01187	CDS	222				hypothetical protein
DMAJDCCL_01188	CDS	477				hypothetical protein
DMAJDCCL_01189	CDS	480	klcA_2			Antirestriction protein KlcA
DMAJDCCL_01190	CDS	822				hypothetical protein
DMAJDCCL_01191	CDS	411				hypothetical protein
DMAJDCCL_01192	CDS	684				hypothetical protein
DMAJDCCL_01193	CDS	1071				hypothetical protein
DMAJDCCL_01194	CDS	906				hypothetical protein
DMAJDCCL_01195	CDS	2397	crfC_1		COG0699	Clamp-binding protein CrfC
DMAJDCCL_01196	CDS	873	era_4			GTPase Era
DMAJDCCL_01197	CDS	1152				hypothetical protein
DMAJDCCL_01198	CDS	384				hypothetical protein
DMAJDCCL_01199	CDS	348				hypothetical protein
DMAJDCCL_01200	CDS	1536				IS66 family transposase ISEc78
DMAJDCCL_01201	CDS	603				hypothetical protein
DMAJDCCL_01202	CDS	207				hypothetical protein
DMAJDCCL_01203	CDS	267				hypothetical protein
DMAJDCCL_01204	CDS	201				hypothetical protein
DMAJDCCL_01205	CDS	570				hypothetical protein
DMAJDCCL_01206	CDS	402				hypothetical protein
DMAJDCCL_01207	CDS	411				hypothetical protein
DMAJDCCL_01208	CDS	1380				ISL3 family transposase ISEc38
DMAJDCCL_01209	CDS	1035	php_1		COG1735	Phosphotriesterase homology protein
DMAJDCCL_01210	CDS	264				hypothetical protein
DMAJDCCL_01211	CDS	609				hypothetical protein
DMAJDCCL_01212	CDS	759				hypothetical protein
DMAJDCCL_01213	CDS	1215	RBKS	2.7.1.15		Ribokinase
DMAJDCCL_01214	CDS	117				hypothetical protein
DMAJDCCL_01215	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
DMAJDCCL_01216	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
DMAJDCCL_01217	CDS	1080	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
DMAJDCCL_01218	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
DMAJDCCL_01219	tRNA	76				tRNA-Asn(gtt)
DMAJDCCL_01220	CDS	918	gltC_1			HTH-type transcriptional regulator GltC
DMAJDCCL_01221	CDS	951	cbl			HTH-type transcriptional regulator cbl
DMAJDCCL_01222	tRNA	76				tRNA-Asn(gtt)
DMAJDCCL_01223	CDS	1455	yeeO		COG0534	putative FMN/FAD exporter YeeO
DMAJDCCL_01224	tRNA	76				tRNA-Asn(gtt)
DMAJDCCL_01225	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
DMAJDCCL_01226	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
DMAJDCCL_01227	CDS	1317	abaF_1			Fosfomycin resistance protein AbaF
DMAJDCCL_01228	CDS	1053				hypothetical protein
DMAJDCCL_01229	CDS	648				hypothetical protein
DMAJDCCL_01230	CDS	1263				hypothetical protein
DMAJDCCL_01231	CDS	711				hypothetical protein
DMAJDCCL_01232	CDS	2022	fyuA		COG1629	Pesticin receptor
DMAJDCCL_01233	CDS	1578	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
DMAJDCCL_01234	CDS	804	pikAV	3.1.2.-		Thioesterase PikA5
DMAJDCCL_01235	CDS	1101				hypothetical protein
DMAJDCCL_01236	CDS	9492	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
DMAJDCCL_01237	CDS	6108	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
DMAJDCCL_01238	CDS	960				hypothetical protein
DMAJDCCL_01239	CDS	1713	irtA	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtA
DMAJDCCL_01240	CDS	1803		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
DMAJDCCL_01241	CDS	1281	ampG_1		COG0477	Anhydromuropeptide permease
DMAJDCCL_01242	CDS	1305	mbtI	5.4.99.5	COG0147	Salicylate synthase
DMAJDCCL_01243	CDS	1263	intA_2		COG0582	Prophage integrase IntA
DMAJDCCL_01244	tRNA	76				tRNA-Asn(gtt)
DMAJDCCL_01245	CDS	798	mtfA		COG3228	Protein MtfA
DMAJDCCL_01246	tRNA	90				tRNA-Ser(cga)
DMAJDCCL_01247	CDS	651	zinT		COG3443	Metal-binding protein ZinT
DMAJDCCL_01248	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
DMAJDCCL_01249	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
DMAJDCCL_01250	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
DMAJDCCL_01251	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
DMAJDCCL_01252	CDS	1359	hprS	2.7.13.3	COG0642	Sensor histidine kinase HprS
DMAJDCCL_01253	CDS	852	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
DMAJDCCL_01254	CDS	276			COG1662	IS1 family transposase IS1A
DMAJDCCL_01255	CDS	378			COG1662	IS1 family transposase IS1R
DMAJDCCL_01256	CDS	819				IS3 family transposase ISSd1
DMAJDCCL_01257	CDS	1152			COG2826	IS30 family transposase IS30
DMAJDCCL_01258	CDS	351				hypothetical protein
DMAJDCCL_01259	CDS	675	yedS_1		COG3203	Outer membrane protein YedS
DMAJDCCL_01260	CDS	393	yedS_2		COG3203	Outer membrane protein YedS
DMAJDCCL_01261	CDS	90				hypothetical protein
DMAJDCCL_01262	CDS	303	yedR			Inner membrane protein YedR
DMAJDCCL_01263	CDS	696	yedJ		COG1418	putative protein YedJ
DMAJDCCL_01264	CDS	1419	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
DMAJDCCL_01265	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
DMAJDCCL_01266	CDS	921	yedA			putative inner membrane transporter YedA
DMAJDCCL_01267	CDS	918	yedI		COG2354	Inner membrane protein YedI
DMAJDCCL_01268	CDS	183				hypothetical protein
DMAJDCCL_01269	CDS	936	dgcQ_1	2.7.7.65		putative diguanylate cyclase DgcQ
DMAJDCCL_01270	CDS	756	dgcQ_2	2.7.7.65		putative diguanylate cyclase DgcQ
DMAJDCCL_01271	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
DMAJDCCL_01272	CDS	228				hypothetical protein
DMAJDCCL_01273	CDS	189	dsrB			Protein DsrB
DMAJDCCL_01274	CDS	624	rcsA		COG2771	Transcriptional regulatory protein RcsA
DMAJDCCL_01275	CDS	786	fliR		COG1684	Flagellar biosynthetic protein FliR
DMAJDCCL_01276	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
DMAJDCCL_01277	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
DMAJDCCL_01278	CDS	366	fliO		COG3190	Flagellar protein FliO
DMAJDCCL_01279	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
DMAJDCCL_01280	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
DMAJDCCL_01281	CDS	465				hypothetical protein
DMAJDCCL_01282	CDS	1128	fliK		COG3144	Flagellar hook-length control protein
DMAJDCCL_01283	CDS	444	fliJ		COG2882	Flagellar FliJ protein
DMAJDCCL_01284	CDS	1374	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
DMAJDCCL_01285	CDS	687	fliH		COG1317	Flagellar assembly protein FliH
DMAJDCCL_01286	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
DMAJDCCL_01287	CDS	1659	fliF		COG1766	Flagellar M-ring protein
DMAJDCCL_01288	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
DMAJDCCL_01289	CDS	333	emrE_1		COG2076	Multidrug transporter EmrE
DMAJDCCL_01290	CDS	552				hypothetical protein
DMAJDCCL_01291	CDS	798	rhaS_2			HTH-type transcriptional activator RhaS
DMAJDCCL_01292	CDS	549				hypothetical protein
DMAJDCCL_01293	CDS	270				hypothetical protein
DMAJDCCL_01294	CDS	498	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
DMAJDCCL_01295	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
DMAJDCCL_01296	CDS	1206				hypothetical protein
DMAJDCCL_01297	CDS	414				hypothetical protein
DMAJDCCL_01298	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
DMAJDCCL_01299	CDS	366	fliT			Flagellar protein FliT
DMAJDCCL_01300	CDS	411	fliS		COG1516	Flagellar secretion chaperone FliS
DMAJDCCL_01301	CDS	1416	fliD		COG1345	Flagellar hook-associated protein 2
DMAJDCCL_01302	CDS	1050	fliC2		COG1344	Flagellin 2
DMAJDCCL_01303	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
DMAJDCCL_01304	CDS	552	fliZ			Regulator of sigma S factor FliZ
DMAJDCCL_01305	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
DMAJDCCL_01306	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
DMAJDCCL_01307	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
DMAJDCCL_01308	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
DMAJDCCL_01309	CDS	723	sdiA		COG2771	Regulatory protein SdiA
DMAJDCCL_01310	CDS	225				hypothetical protein
DMAJDCCL_01311	CDS	657	uvrY		COG2197	Response regulator UvrY
DMAJDCCL_01312	CDS	1833	uvrC		COG0322	UvrABC system protein C
DMAJDCCL_01313	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
DMAJDCCL_01314	tRNA	76				tRNA-Gly(gcc)
DMAJDCCL_01315	tRNA	74				tRNA-Cys(gca)
DMAJDCCL_01316	tRNA	87				tRNA-Leu(taa)
DMAJDCCL_01317	CDS	666				hypothetical protein
DMAJDCCL_01318	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
DMAJDCCL_01319	CDS	240				hypothetical protein
DMAJDCCL_01320	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
DMAJDCCL_01321	CDS	324				hypothetical protein
DMAJDCCL_01322	CDS	252				hypothetical protein
DMAJDCCL_01323	CDS	504	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
DMAJDCCL_01324	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
DMAJDCCL_01325	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
DMAJDCCL_01326	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
DMAJDCCL_01327	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
DMAJDCCL_01328	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
DMAJDCCL_01329	CDS	429	uspC		COG0589	Universal stress protein C
DMAJDCCL_01330	CDS	351	flhD			Flagellar transcriptional regulator FlhD
DMAJDCCL_01331	CDS	579	flhC			Flagellar transcriptional regulator FlhC
DMAJDCCL_01332	CDS	888	motA		COG1291	Motility protein A
DMAJDCCL_01333	CDS	927	motB		COG1360	Motility protein B
DMAJDCCL_01334	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
DMAJDCCL_01335	CDS	504	cheW		COG0835	Chemotaxis protein CheW
DMAJDCCL_01336	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
DMAJDCCL_01337	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
DMAJDCCL_01338	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
DMAJDCCL_01339	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
DMAJDCCL_01340	CDS	390	cheY		COG0784	Chemotaxis protein CheY
DMAJDCCL_01341	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
DMAJDCCL_01342	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
DMAJDCCL_01343	CDS	2079	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
DMAJDCCL_01344	CDS	393	flhE			Flagellar protein FlhE
DMAJDCCL_01345	CDS	489				hypothetical protein
DMAJDCCL_01346	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
DMAJDCCL_01347	CDS	567	yecM		COG3102	Protein YecM
DMAJDCCL_01348	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
DMAJDCCL_01349	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
DMAJDCCL_01350	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
DMAJDCCL_01351	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
DMAJDCCL_01352	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
DMAJDCCL_01353	CDS	396	yecN		COG3788	Inner membrane protein YecN
DMAJDCCL_01354	CDS	726				hypothetical protein
DMAJDCCL_01355	CDS	1311	intQ_1		COG0582	Putative defective protein IntQ
DMAJDCCL_01356	CDS	237				hypothetical protein
DMAJDCCL_01357	CDS	147				hypothetical protein
DMAJDCCL_01358	CDS	243				hypothetical protein
DMAJDCCL_01359	CDS	759				hypothetical protein
DMAJDCCL_01360	CDS	516				hypothetical protein
DMAJDCCL_01361	CDS	549				hypothetical protein
DMAJDCCL_01362	CDS	240				hypothetical protein
DMAJDCCL_01363	CDS	204				hypothetical protein
DMAJDCCL_01364	CDS	363				hypothetical protein
DMAJDCCL_01365	CDS	537				hypothetical protein
DMAJDCCL_01366	CDS	825				hypothetical protein
DMAJDCCL_01367	CDS	363				hypothetical protein
DMAJDCCL_01368	CDS	648			COG2932	putative HTH-type transcriptional regulator
DMAJDCCL_01369	CDS	261				hypothetical protein
DMAJDCCL_01370	CDS	558				hypothetical protein
DMAJDCCL_01371	CDS	1146				hypothetical protein
DMAJDCCL_01372	CDS	225				hypothetical protein
DMAJDCCL_01373	CDS	819				hypothetical protein
DMAJDCCL_01374	CDS	489				hypothetical protein
DMAJDCCL_01375	CDS	654				hypothetical protein
DMAJDCCL_01376	CDS	327	lexA_1	3.4.21.88	COG1974	LexA repressor
DMAJDCCL_01377	CDS	396	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
DMAJDCCL_01378	CDS	816				hypothetical protein
DMAJDCCL_01379	CDS	990				hypothetical protein
DMAJDCCL_01380	CDS	342				hypothetical protein
DMAJDCCL_01381	CDS	549				hypothetical protein
DMAJDCCL_01382	CDS	927				hypothetical protein
DMAJDCCL_01383	CDS	204				hypothetical protein
DMAJDCCL_01384	CDS	1050				hypothetical protein
DMAJDCCL_01385	tRNA	76				tRNA-Met(cat)
DMAJDCCL_01386	tRNA	77				tRNA-Arg(tcg)
DMAJDCCL_01387	tRNA	77				tRNA-Arg(tct)
DMAJDCCL_01388	CDS	1854				hypothetical protein
DMAJDCCL_01389	CDS	216				hypothetical protein
DMAJDCCL_01390	CDS	807				hypothetical protein
DMAJDCCL_01391	CDS	315				hypothetical protein
DMAJDCCL_01392	CDS	534	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
DMAJDCCL_01393	CDS	147				hypothetical protein
DMAJDCCL_01394	CDS	132				hypothetical protein
DMAJDCCL_01395	CDS	459				hypothetical protein
DMAJDCCL_01396	CDS	141				hypothetical protein
DMAJDCCL_01397	CDS	549	nohA_1		COG4220	Prophage DNA-packing protein NohA
DMAJDCCL_01398	CDS	1929				hypothetical protein
DMAJDCCL_01399	CDS	207				hypothetical protein
DMAJDCCL_01400	CDS	1593				hypothetical protein
DMAJDCCL_01401	CDS	1506				hypothetical protein
DMAJDCCL_01402	CDS	348				hypothetical protein
DMAJDCCL_01403	CDS	1029				hypothetical protein
DMAJDCCL_01404	CDS	384				hypothetical protein
DMAJDCCL_01405	CDS	354				hypothetical protein
DMAJDCCL_01406	CDS	576				hypothetical protein
DMAJDCCL_01407	CDS	396				hypothetical protein
DMAJDCCL_01408	CDS	753				hypothetical protein
DMAJDCCL_01409	CDS	423				hypothetical protein
DMAJDCCL_01410	CDS	414				hypothetical protein
DMAJDCCL_01411	CDS	2613				hypothetical protein
DMAJDCCL_01412	CDS	330				hypothetical protein
DMAJDCCL_01413	CDS	699				hypothetical protein
DMAJDCCL_01414	CDS	600				hypothetical protein
DMAJDCCL_01415	CDS	573				hypothetical protein
DMAJDCCL_01416	CDS	3396				hypothetical protein
DMAJDCCL_01417	CDS	600	ompX_1		COG3637	Outer membrane protein X
DMAJDCCL_01418	CDS	1404				hypothetical protein
DMAJDCCL_01419	CDS	609				hypothetical protein
DMAJDCCL_01420	CDS	249	dinI_1			DNA damage-inducible protein I
DMAJDCCL_01421	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
DMAJDCCL_01422	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
DMAJDCCL_01423	CDS	444	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
DMAJDCCL_01424	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
DMAJDCCL_01425	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
DMAJDCCL_01426	CDS	603				hypothetical protein
DMAJDCCL_01427	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
DMAJDCCL_01428	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
DMAJDCCL_01429	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
DMAJDCCL_01430	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
DMAJDCCL_01431	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
DMAJDCCL_01432	CDS	1323	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
DMAJDCCL_01433	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
DMAJDCCL_01434	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
DMAJDCCL_01435	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
DMAJDCCL_01436	CDS	150				hypothetical protein
DMAJDCCL_01437	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
DMAJDCCL_01438	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
DMAJDCCL_01439	CDS	642	eda		COG0800	KHG/KDPG aldolase
DMAJDCCL_01440	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
DMAJDCCL_01441	CDS	291				hypothetical protein
DMAJDCCL_01442	CDS	357	yebF			Protein YebF
DMAJDCCL_01443	CDS	207				hypothetical protein
DMAJDCCL_01444	CDS	111				hypothetical protein
DMAJDCCL_01445	CDS	660	yebE		COG2979	Inner membrane protein YebE
DMAJDCCL_01446	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
DMAJDCCL_01447	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
DMAJDCCL_01448	CDS	657				hypothetical protein
DMAJDCCL_01449	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
DMAJDCCL_01450	CDS	375	yobA		COG2372	Protein YobA
DMAJDCCL_01451	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
DMAJDCCL_01452	CDS	342				hypothetical protein
DMAJDCCL_01453	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
DMAJDCCL_01454	CDS	276				hypothetical protein
DMAJDCCL_01455	CDS	237	yebV			putative protein YebV
DMAJDCCL_01456	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
DMAJDCCL_01457	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
DMAJDCCL_01458	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
DMAJDCCL_01459	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
DMAJDCCL_01460	CDS	699	proQ_1		COG3109	RNA chaperone ProQ
DMAJDCCL_01461	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
DMAJDCCL_01462	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
DMAJDCCL_01463	CDS	1374	ribZ			Riboflavin transporter RibZ
DMAJDCCL_01464	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
DMAJDCCL_01465	CDS	240				hypothetical protein
DMAJDCCL_01466	CDS	288				hypothetical protein
DMAJDCCL_01467	CDS	210	cspC			Cold shock-like protein CspC
DMAJDCCL_01468	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
DMAJDCCL_01469	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
DMAJDCCL_01470	CDS	459				hypothetical protein
DMAJDCCL_01471	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
DMAJDCCL_01472	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
DMAJDCCL_01473	CDS	972	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
DMAJDCCL_01474	CDS	210				hypothetical protein
DMAJDCCL_01475	CDS	1557				hypothetical protein
DMAJDCCL_01476	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
DMAJDCCL_01477	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
DMAJDCCL_01478	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
DMAJDCCL_01479	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
DMAJDCCL_01480	CDS	180				hypothetical protein
DMAJDCCL_01481	CDS	300				hypothetical protein
DMAJDCCL_01482	CDS	348	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DMAJDCCL_01483	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
DMAJDCCL_01484	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
DMAJDCCL_01485	CDS	582	slp_1		COG3065	Outer membrane protein Slp
DMAJDCCL_01486	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
DMAJDCCL_01487	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
DMAJDCCL_01488	CDS	966	yeaX	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
DMAJDCCL_01489	CDS	1125	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
DMAJDCCL_01490	CDS	1611	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
DMAJDCCL_01491	CDS	1086	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
DMAJDCCL_01492	CDS	924	dmlR_2			HTH-type transcriptional regulator DmlR
DMAJDCCL_01493	CDS	639	leuE		COG1280	Leucine efflux protein
DMAJDCCL_01494	CDS	360	yeaR		COG3615	putative protein YeaR
DMAJDCCL_01495	CDS	189	yoaG			Protein YoaG
DMAJDCCL_01496	CDS	1149				IS200/IS605 family transposase IS609
DMAJDCCL_01497	CDS	249				hypothetical protein
DMAJDCCL_01498	CDS	1026	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
DMAJDCCL_01499	CDS	255				hypothetical protein
DMAJDCCL_01500	CDS	348				hypothetical protein
DMAJDCCL_01501	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
DMAJDCCL_01502	CDS	819	nimR			HTH-type transcriptional regulator NimR
DMAJDCCL_01503	CDS	543				hypothetical protein
DMAJDCCL_01504	CDS	504				hypothetical protein
DMAJDCCL_01505	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
DMAJDCCL_01506	CDS	1476	cdgI_1	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
DMAJDCCL_01507	CDS	1284				hypothetical protein
DMAJDCCL_01508	CDS	1935				hypothetical protein
DMAJDCCL_01509	CDS	747	mipA_1		COG3713	MltA-interacting protein
DMAJDCCL_01510	CDS	855	yvgN	1.1.1.-	COG0656	Glyoxal reductase
DMAJDCCL_01511	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
DMAJDCCL_01512	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
DMAJDCCL_01513	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
DMAJDCCL_01514	CDS	273				hypothetical protein
DMAJDCCL_01515	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
DMAJDCCL_01516	CDS	1380	ydjE_1			Inner membrane metabolite transport protein YdjE
DMAJDCCL_01517	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
DMAJDCCL_01518	CDS	837	ydjI		COG0191	putative protein YdjI
DMAJDCCL_01519	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
DMAJDCCL_01520	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
DMAJDCCL_01521	CDS	759	ydjF_2		COG1349	putative HTH-type transcriptional regulator YdjF
DMAJDCCL_01522	CDS	1359	ydjE_2			Inner membrane metabolite transport protein YdjE
DMAJDCCL_01523	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
